Database???Annual by Province;;;;;;;;;;;;;;;;;;;;
Indicators£ºPopulation Aged 65 and Over (Sample Survey)(person);;;;;;;;;;;;;;;;;;;;
Year£ºLATEST20;;;;;;;;;;;;;;;;;;;;
Region;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Beijing;3300;;1909;1989;2225;2129;35775;1518;1498;1485;1521;;1524;1524;1484;1605;22014;1581;1576;1479
Tianjin;2315;;1461;1397;1442;1482;24641;1462;1392;1233;1131;;1156;1242;1074;1023;13377;1065;1088;1070
Hebei;11769;;7767;7854;7326;6845;117567;5682;5547;5529;5053;;5512;5504;5626;5405;74117;5277;5031;5074
Shanxi;5043;;3190;3147;2746;2688;52324;2566;2388;2400;2384;;2457;2424;2268;2178;34244;2282;2313;2254
Inner Mongolia;3518;;2013;2047;2260;1995;37288;1929;1762;1636;1461;;1818;1769;1802;1728;25056;1736;1796;1683
Liaoning;8424;;5382;5353;5063;4849;87595;4407;3701;3639;4034;;4419;4419;4181;4155;54583;3888;4032;3370
Jilin;4205;;2783;2743;2735;2490;46769;2310;2193;1776;2044;;2164;2260;2208;2084;27577;1968;1881;1785
Heilongjiang;5553;;4020;3780;3793;3805;64239;2971;2830;2827;2618;;2951;3163;3147;2864;38437;2531;2505;2404
Shanghai;4600;;3055;2972;2827;2617;47936;1938;2121;1790;1579;;2368;2198;2381;2382;28159;2572;2630;2152
Jiangsu;15354;;9447;9435;9210;9048;157135;7925;8030;7597;7300;;8225;8118;7751;7683;107525;7753;8278;7215
Zhejiang;9815;;6374;6108;5812;5449;96855;4374;4174;3998;3999;;5035;4889;4874;4569;68581;4469;5280;5104
Anhui;9997;;6923;6840;6713;5969;106895;5231;5241;5155;5342;;5545;5963;5908;5807;81754;5330;5131;5171
Fujian;5117;;3086;3065;3069;3231;53694;2383;2543;2687;2438;;3220;3247;3301;3073;40954;2897;2724;2594
Jiangxi;5936;;3686;3707;3723;3702;64388;3464;3360;3040;2923;;3165;3322;3574;3403;48143;3333;2905;3058
Shandong;17152;;12402;12495;10672;9725;178471;9267;8822;8496;8854;;8171;8285;8350;8211;121794;8209;8137;7628
Henan;14644;;8711;8698;8567;8075;145415;6821;6935;6923;7057;;7460;6643;6546;7027;102292;7675;7644;6998
Hubei;9524;;6026;6059;5955;5716;102146;4922;4741;5189;4974;;5175;5237;5179;5197;69314;4792;4671;5222
Hunan;10849;;7078;7057;6895;6814;118534;6045;5837;6152;5906;;6351;6059;6031;6206;84797;5712;5885;5615
Guangdong;12252;;7672;7687;7121;7086;123964;7322;6364;6172;5884;;6356;6477;6305;6073;90071;6144;6283;5973
Guangxi;6716;;3930;4046;3936;3943;72940;3741;3620;3644;3786;;3993;4045;3991;3892;58931;3997;4339;4100
Hainan;1168;;685;629;626;635;11954;571;602;538;516;;667;686;682;666;9360;595;621;598
Chongqing;6041;;3725;3678;3618;3570;62282;3487;3247;3171;3097;;2927;3055;3020;2977;40614;3498;2832;2810
Sichuan;15590;;10266;10244;9557;9513;165273;9398;8536;7961;8277;;8838;8440;8261;8625;118672;7438;7439;7384
Guizhou;4799;;3271;3344;2946;2879;52149;2670;2682;2662;2698;;2794;2778;2870;2794;40504;2847;2878;2587
Yunnan;5601;;3743;3790;3336;3362;62088;3393;3099;3015;3041;;3478;3225;3074;3112;44325;3300;3012;2994
Tibet;225;;165;160;162;139;2890;144;133;139;125;;179;172;172;165;2259;169;160;167
Shaanxi;5861;;3633;3536;3512;3439;60994;3306;3053;2905;2715;;3315;3260;3313;3086;42480;2756;2814;2909
Gansu;3439;;2377;2446;2243;2186;37912;1910;1895;1987;1951;;1952;1939;1877;1782;24804;1679;1710;1609
Qinghai;622;;404;375;390;360;6502;342;341;335;288;;345;343;329;352;4341;307;307;283
Ningxia;772;;514;507;476;441;7643;370;382;358;299;;374;358;347;330;4753;321;322;266
Xinjiang;2217;;1586;1458;1472;1458;26207;1303;1190;1266;1247;;1264;1366;1285;1242;17223;1182;1023;1211
Note:Population data of 2005 are estimates from the national 1% population sample survey. And data of other years are 1? national sample survey on population change.;;;;;;;;;;;;;;;;;;;;
Data Sources£ºNational Bureau of Statistics;;;;;;;;;;;;;;;;;;;;